"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","delay","seq_num"
274,2018-06-27 07:57:19,131,"Dworzec Główny",52,"Os.Piastów",2018-06-27 07:54:00,"6352185295672181647","6351558574045265668",3,17
275,2018-06-27 07:57:25,413,"Os.Kolorowe",52,"Czerwone Maki P+R",2018-06-27 07:56:00,"6352185295672180856","6351558574045236996",1,10
279,2018-06-27 07:57:44,2539,"Rondo Hipokratesa",52,"Czerwone Maki P+R",2018-06-27 07:57:00,"6352185295672180864","6351558574045241092",0,5
280,2018-06-27 07:57:47,359,"Stradom",52,"Czerwone Maki P+R",2018-06-27 07:52:00,"6352185295672181662","6351558574045224708",5,24
283,2018-06-27 07:58:02,112,"Stella-Sawickiego",52,"Os.Piastów",2018-06-27 07:58:00,"6352185295672181668","6351558574045261571",0,25
285,2018-06-27 07:58:11,584,"Kobierzyńska",52,"Os.Piastów",2018-06-27 07:57:00,"6352185295672181640","6351558574045273860",1,8
285,2018-06-27 07:58:12,2811,"Muzeum Lotnictwa",52,"Czerwone Maki P+R",2018-06-27 07:54:00,"6352185295672180894","6351558574045232900",4,15
287,2018-06-27 07:58:23,2744,"Plac Centralny im. R.Reagana",52,"Os.Piastów",2018-06-27 07:58:00,"6352185295672181648","6351558574045257474",0,29
291,2018-06-27 07:58:39,2687,"Grota-Roweckiego",52,"Czerwone Maki P+R",2018-06-27 07:55:00,"6352185295672181660","6351558574045220610",3,32
292,2018-06-27 07:58:45,357,"Poczta Główna",52,"Czerwone Maki P+R",2018-06-27 07:58:00,"6352185295672181661","6351558574045228802",0,22
294,2018-06-27 07:58:53,2691,"Chmieleniec",52,"Os.Piastów",2018-06-27 07:58:00,"6352185295672180839","6351558574045277955",0,2
294,2018-06-27 07:58:59,361,"Orzeszkowej",52,"Czerwone Maki P+R",2018-06-27 07:54:00,"6352185295672181662","6351558574045224708",4,25
294,2018-06-27 07:59:08,407,"Czyżyny",52,"Os.Piastów",2018-06-27 07:59:00,"6352185295672181668","6351558574045261571",0,26
295,2018-06-27 07:59:14,126,"Lubicz",52,"Os.Piastów",2018-06-27 07:56:00,"6352185295672181647","6351558574045265668",3,18
295,2018-06-27 07:59:17,3040,"TAURON Arena Kraków Wieczysta",52,"Czerwone Maki P+R",2018-06-27 07:57:00,"6352185295672180894","6351558574045232900",2,16
295,2018-06-27 07:59:24,418,"Os.Zgody",52,"Os.Piastów",2018-06-27 07:59:00,"6352185295672181648","6351558574045257474",0,30
295,2018-06-27 07:59:26,392,"DH Wanda",52,"Czerwone Maki P+R",2018-06-27 07:58:00,"6352185295672180864","6351558574045241092",1,6
