"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","status","delay","seq_num"
5,2018-07-09 22:15:13,2690,"Kampus UJ",18,"Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181551","6351558574044801812","STOPPING",0,3
5,2018-07-09 22:15:15,571,"Korona",8,"Borek Fałęcki",2018-07-09 22:15:00,"6352185295672181359","6351558574044592915","STOPPING",0,18
5,2018-07-09 22:15:15,571,"Korona",11,"Mały Płaszów",2018-07-09 22:14:00,"6352185295672180940","6351558574044674838","STOPPING",1,14
5,2018-07-09 22:15:16,611,"Rzemieślnicza",8,"Bronowice Małe",2018-07-09 22:15:00,"6352185295672181362","6351558574044580628","PREDICTED",0,6
5,2018-07-09 22:15:21,89,"Bronowice",24,"Bronowice Małe",2018-07-09 22:15:00,"6352185295672181055","6351558574044953361","PREDICTED",0,25
5,2018-07-09 22:15:22,61,"Bratysławska",18,"Czerwone Maki P+R",2018-07-09 22:15:00,"6352185295672181560","6351558574044781331","STOPPING",0,2
5,2018-07-09 22:15:22,61,"Bratysławska",18,"Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181540","6351558574044789522","STOPPING",2,25
5,2018-07-09 22:15:23,1173,"Dworzec Główny Tunel",50,"Prokocim",2018-07-09 22:14:00,"6352185295672181641","6351558574045014810","STOPPING",1,6
5,2018-07-09 22:15:25,632,"Dauna",24,"Kurdwanów P+R",2018-07-09 22:14:00,"6352185295672181042","6351558574044928786","STOPPING",1,24
5,2018-07-09 22:15:26,3158,"Podgórze SKA",3,"Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181344","6351558574044453653","STOPPING",1,13
5,2018-07-09 22:15:26,624,"Kabel",50,"Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181642","6351558574044998428","STOPPING",1,4
5,2018-07-09 22:15:27,1154,"Zabłocie",20,"Mały Płaszów",2018-07-09 22:14:00,"6352185295672181161","6351558574044846873","PREDICTED",1,13
5,2018-07-09 22:15:28,129,"Cystersów",10,"Kopiec Wandy",2018-07-09 22:08:00,"6352185295672180851","6351558574044642067","STOPPING",7,13
5,2018-07-09 22:15:28,129,"Cystersów",4,"Bronowice Małe",2018-07-09 22:15:00,"6352185295672181647","6351558574044482319","STOPPING",0,18
5,2018-07-09 22:15:29,124,"Cmentarz Rakowicki",2,"Salwator",2018-07-09 22:15:00,"6352185295672181168","6351558574044416804","STOPPING",0,1
5,2018-07-09 22:15:30,930,"M1 Al. Pokoju",1,"Wzgórza K.",2018-07-09 22:12:00,"6352185295672181166","6351558574044367631","PREDICTED",3,NA
5,2018-07-09 22:15:30,3041,"Rondo 308. Dywizjonu",22,"Kombinat",2018-07-09 22:15:00,"6352185295672180900","6351558574044896015","STOPPING",0,NA
5,2018-07-09 22:15:32,413,"Os.Kolorowe",9,"Nowy Bieżanów P+R",2018-07-09 22:15:00,"6352185295672180962","6351558574044621583","STOPPING",0,11
5,2018-07-09 22:15:32,413,"Os.Kolorowe",52,"Os.Piastów",2018-07-09 22:14:00,"6352185295672181649","6351558574045088526","STOPPING",1,28
6,2018-07-09 22:15:37,2691,"Chmieleniec",18,"Czerwone Maki P+R",2018-07-09 22:15:00,"6352185295672181548","6351558574044810003","STOPPING",0,25
6,2018-07-09 22:15:39,584,"Kobierzyńska",52,"Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181640","6351558574045059853","PREDICTED",1,30
6,2018-07-09 22:15:41,319,"Jubilat",2,"Cm. Rakowicki",2018-07-09 22:15:00,"6352185295672181146","6351558574044408613","STOPPING",0,NA
6,2018-07-09 22:15:42,360,"Plac Wolnica",10,"Kopiec Wandy",2018-07-09 22:15:00,"6352185295672180897","6351558574044646163","STOPPING",0,6
6,2018-07-09 22:15:42,325,"Wawel",18,"Czerwone Maki P+R",2018-07-09 22:15:00,"6352185295672181550","6351558574044818195","STOPPING",0,12
6,2018-07-09 22:15:44,1049,"Głowackiego",4,"Wzgórza K.",2018-07-09 22:15:00,"6352185295672181655","6351558574044474127","STOPPING",0,NA
6,2018-07-09 22:15:44,88,"Uniwersytet Pedagogiczny",8,"Borek Fałęcki",2018-07-09 22:14:00,"6352185295672181351","6351558574044601105","PREDICTED",1,6
6,2018-07-09 22:15:44,88,"Uniwersytet Pedagogiczny",4,"Bronowice Małe",2018-07-09 22:14:00,"6352185295672181668","6351558574044478222","STOPPING",1,28
6,2018-07-09 22:15:44,135,"Bronowice Małe",24,"Kurdwanów P+R",2018-07-09 22:14:00,NA,"6351558574044945171","PLANNED",1,1
6,2018-07-09 22:15:45,131,"Dworzec Główny",24,"Kurdwanów P+R",2018-07-09 22:14:00,NA,"6351558574044936979","PLANNED",1,13
6,2018-07-09 22:15:46,715,"Nowosądecka",24,"Bronowice Małe",2018-07-09 22:15:00,"6352185295672181038","6351558574044969747","STOPPING",0,3
6,2018-07-09 22:15:46,630,"Bieżanowska",50,"Prokocim",2018-07-09 22:13:00,"6352185295672181650","6351558574045002522","STOPPING",2,16
6,2018-07-09 22:15:48,624,"Kabel",13,"Nowy Bieżanów P+R",2018-07-09 22:14:00,NA,"6351558574044723984","PLANNED",1,20
6,2018-07-09 22:15:49,946,"Klimeckiego",20,"Mały Płaszów",2018-07-09 22:15:00,"6352185295672181161","6351558574044846873","PREDICTED",0,14
6,2018-07-09 22:15:49,365,"Rondo Grzegórzeckie",9,"Mistrzejowice",2018-07-09 22:14:00,NA,"6351558574044605199","PLANNED",1,16
6,2018-07-09 22:15:49,365,"Rondo Grzegórzeckie",22,"Borek Fałęcki",2018-07-09 22:15:00,"6352185295672180856","6351558574044912398","STOPPING",0,20
6,2018-07-09 22:15:50,125,"Rondo Mogilskie",52,"Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672180865","6351558574045063950","STOPPING",1,19
