"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
8,2018-07-09 22:16:27,319,"6","Salwator",2018-07-09 22:14:00,"6352185295672181194","6351558574044519190","STOPPING"
8,2018-07-09 22:16:29,1360,"13","Bronowice",2018-07-09 22:15:00,"6352185295672181370","6351558574044699410","STOPPING"
8,2018-07-09 22:16:29,1360,"13","Nowy Bieżanów P+R",2018-07-09 22:15:00,"6352185295672181345","6351558574044683027","PREDICTED"
8,2018-07-09 22:16:29,1360,"1","Salwator",2018-07-09 22:16:00,"6352185295672181145","6351558574044392208","PREDICTED"
8,2018-07-09 22:16:29,2741,"18","Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181552","6351558574044793620","STOPPING"
8,2018-07-09 22:16:29,357,"1","Wzgórza K.",2018-07-09 22:15:00,"6352185295672181020","6351558574044375825","STOPPING"
8,2018-07-09 22:16:29,358,"24","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181059","6351558574044961554","STOPPING"
8,2018-07-09 22:16:32,70,"50","Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181646","6351558574045023003","STOPPING"
8,2018-07-09 22:16:36,621,"3","Nowy Bieżanów P+R",2018-07-09 22:15:00,"6352185295672181344","6351558574044453653","STOPPING"
8,2018-07-09 22:16:37,569,"11","Czerwone Maki P+R",2018-07-09 22:16:00,"6352185295672180970","6351558574044666647","STOPPING"
8,2018-07-09 22:16:37,365,"9","Nowy Bieżanów P+R",2018-07-09 22:15:00,NA,"6351558574044617486","PLANNED"
8,2018-07-09 22:16:38,129,"4","Wzgórza K.",2018-07-09 22:14:00,"6352185295672181658","6351558574044470031","STOPPING"
8,2018-07-09 22:16:39,130,"5","Wzgórza K.",2018-07-09 22:15:00,NA,"6351558574044502803","PLANNED"
8,2018-07-09 22:16:39,130,"10","Kopiec Wandy",2018-07-09 22:10:00,"6352185295672180851","6351558574044642067","STOPPING"
8,2018-07-09 22:16:40,409,"22","Kombinat",2018-07-09 22:16:00,"6352185295672180900","6351558574044896015","STOPPING"
8,2018-07-09 22:16:42,2745,"5","Wzgórza K.",2018-07-09 22:16:00,"6352185295672181192","6351558574044498707","STOPPING"
8,2018-07-09 22:16:43,423,"21","Kopiec Wandy",2018-07-09 22:15:00,NA,"6351558574044879651","PLANNED"
8,2018-07-09 22:16:43,423,"4","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181665","6351558574044486414","STOPPING"
8,2018-07-09 22:16:44,435,"1","Wzgórza K.",2018-07-09 22:15:00,NA,"6351558574044359440","PLANNED"
9,2018-07-09 22:16:47,126,"52","Os.Piastów",2018-07-09 22:16:00,"6352185295672181667","6351558574045035277","STOPPING"
9,2018-07-09 22:16:50,577,"22","Kombinat",2018-07-09 22:15:00,NA,"6351558574044900111","PLANNED"
9,2018-07-09 22:16:51,572,"8","Borek Fałęcki",2018-07-09 22:16:00,"6352185295672181359","6351558574044592915","STOPPING"
9,2018-07-09 22:16:52,823,"20","Mały Płaszów",2018-07-09 22:16:00,"6352185295672181154","6351558574044855066","STOPPING"
9,2018-07-09 22:16:54,363,"19","Borek Fałęcki",2018-07-09 22:15:00,NA,"6351558574044830486","PLANNED"
9,2018-07-09 22:16:54,133,"24","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181055","6351558574044953361","PREDICTED"
9,2018-07-09 22:16:54,136,"24","Kurdwanów P+R",2018-07-09 22:15:00,NA,"6351558574044945171","PLANNED"
9,2018-07-09 22:16:55,78,"14","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181546","6351558574044740366","STOPPING"
9,2018-07-09 22:16:55,79,"8","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181360","6351558574044572434","STOPPING"
9,2018-07-09 22:16:57,3036,"3","Krowodrza Górka",2018-07-09 22:15:00,NA,"6351558574044424982","PLANNED"
9,2018-07-09 22:16:57,3036,"18","Czerwone Maki P+R",2018-07-09 22:16:00,"6352185295672181560","6351558574044781331","STOPPING"
9,2018-07-09 22:16:57,718,"6","Kurdwanów P+R",2018-07-09 22:14:00,"6352185295672181196","6351558574044535574","STOPPING"
9,2018-07-09 22:16:57,716,"24","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181038","6351558574044969747","STOPPING"
